PERIOD_START_TIME,PLMN name,RNC name,RRC Connection setup SR,Call Setup Success Rate CS -Speech,HSDPA Accessibility,HSUPA Accessibility,CSSR for PS,Soft Handover Success Rate CS and PS,IRAT HO Success Rate CS,3G Traffic CS - Speech,PS HSUPA Volume,PS HSDPA Volume,AVG Nbr of HSDPA Users,AVG Nbr of HSUPA Users,CS drop rate,PS Global RAB Drop Rate,PS HSDPA RAB Drop Rate,PS HSUPA RAB Drop Rate,PS HSDPA Throughput,PS HSUPA Throughput,PS R99 Setup SR User,PS R99 Drop Rate User,PS R99 DL Data Volume,PS R99 UL Data Volume,Packet Loss,RRC Drop rate
2/11 15:00,PLMN,N406,99.9939,99.7817,99.7212,99.7639,98.6583,99.9807,99.0087,299.9136,146.8366,941.6803,7289.7,8186,0.4304,2.7692,0.4667,0.4621,4965.6326,425.6468,100,2.8486,0.1008,0.046,6.1585,0.91
2/11 15:00,PLMN,N407,99.9988,99.8022,99.7201,99.769,98.8352,99.9715,96.5414,932.0062,235.8127,1596.0921,6319.3,7476.7,0.32,1.7657,0.5718,0.58,4094.7309,367.2719,100,2.8779,0.2068,0.1281,5.6826,0.83
2/11 15:00,PLMN,N408,99.9047,99.642,99.7076,99.7364,98.6451,99.9027,97.8155,1522.7826,211.1792,1437.24,5416.3,6568.8,0.5736,1.5958,0.7389,0.7364,4347.7864,330.7925,99.3631,3.3707,0.2186,0.1396,5.8745,0.63
2/11 15:00,PLMN,N601,99.9975,99.6729,99.6848,99.7324,98.3804,99.8942,96.7189,217.4117,137.8353,898.7617,6209.9,7072.1,0.4711,2.2137,0.571,0.592,4937.9147,404.2466,100,4.335,0.1284,0.071,3.9572,0.91
2/11 15:00,PLMN,N602,99.999,99.7263,99.8031,99.8355,98.9698,99.9758,97.3568,575.9888,215.7181,1620.2354,5336,6412.7,0.2901,1.306,0.34,0.3672,4522.1642,349.4837,99.6622,2.9169,0.1841,0.1374,2.5501,0.53
2/11 15:00,PLMN,N604,100,100,99.8416,99.8481,99.7773,99.9642,,1.9022,1.7783,10.597,5875,6150.3,1.2048,2.4831,0.448,0.4476,5073.5899,477.022,,0,0.0006,0.0001,0,1.14
2/11 16:00,PLMN,N103,99.9977,99.887,99.8389,99.8715,99.2501,99.9787,96.1538,2129.8279,143.4682,711.4736,2563.2,3224.1,0.2422,0.6151,0.3517,0.326,4128.9288,210.2203,99.5134,3.1653,0.1503,0.0742,0.1066,0.34
2/11 16:00,PLMN,N104,100,99.7675,99.6482,99.7223,98.6111,99.958,98.0386,408.1381,93.4734,610.2522,5638,6617.7,0.4928,0.8496,0.5048,0.4172,4864.486,457.4232,99.2647,4.0909,0.0787,0.0455,0.5732,0.45
2/11 16:00,PLMN,N105,99.9995,99.77,99.6688,99.7455,98.827,99.962,98.2209,538.9036,118.8866,632.4472,4875.5,5850.2,0.378,1.168,0.6609,0.6148,4074.242,348.9962,98.9247,4.2364,0.0911,0.0617,0.6696,0.53
2/11 16:00,PLMN,N107,99.999,99.8248,99.7669,99.8043,99.114,99.9708,95.2381,1664.2405,136.6747,629.0945,3017.8,3766.3,0.3264,0.6627,0.495,0.4636,3988.9294,268.1958,99.7512,2.7326,0.1443,0.0743,0.1521,0.34
2/11 16:00,PLMN,N108,100,99.809,99.7154,99.7805,98.8599,99.9472,98.0892,676.1647,109.8613,695.1802,3923.3,4861.8,0.4218,0.8894,0.5061,0.4725,4429.5619,341.3376,100,4.2313,0.1037,0.0528,0.9022,0.44
2/11 16:00,PLMN,N109,100,99.7191,99.7274,99.7714,98.8068,99.9535,100,613.7379,129.5203,785.2049,5769.6,7019.6,0.2424,1.0684,0.3673,0.3955,4208.5389,429.3023,100,3.3314,0.1034,0.0746,0.8889,0.44
2/11 16:00,PLMN,N110,99.9954,99.8486,99.6356,99.7002,99.0036,99.8644,98.1255,672.4002,120.5037,708.2871,4159.4,5097.1,0.4636,1.0903,0.5523,0.4823,4511.0933,350.3477,100,2.4076,0.4141,0.3492,2.5217,0.54
2/11 16:00,PLMN,N112,99.9993,99.8666,99.7859,99.8275,99.0973,99.9684,96.5517,496.6064,89.006,532.6955,4306.3,5334.4,0.3476,0.6904,0.4311,0.407,4113.934,336.5922,100,2.3991,0.0691,0.058,0.4546,0.52
2/11 16:00,PLMN,N114,100,99.7608,99.7541,99.8207,98.9501,99.9743,97.3118,722.9923,96.9356,532.0937,4497.8,5490.5,0.4014,0.8547,0.5102,0.4473,4034.6111,314.4528,99.7361,2.6873,0.0379,0.0258,0.2222,0.4
2/11 16:00,PLMN,N115,100,99.889,99.8106,99.8507,99.3497,99.9783,99.349,1506.1197,137.5788,755.0975,2303.1,2855.1,0.2588,0.5049,0.4079,0.3779,4428.5757,235.849,100,3.6774,0.2061,0.0849,0.5894,0.28
